Canada	g:加拿大
卢森堡大公国	g:卢森堡大公国
Estonia	g:爱沙尼亚共和国
Kosovo	g:科索沃共和国
埃塞俄比亚	g:埃塞俄比亚联邦民主共和国
Lebanon	g:黎巴嫩共和国
Korea, South	g:大韩民国
Colombia	g:哥伦比亚共和国
丹麦	g:丹麦王国
老挝人民民主共和国	g:老挝人民民主共和国
哥斯达黎加	g:哥斯达黎加共和国
Palau	g:帕劳共和国
哥斯达黎加共和国	g:哥斯达黎加共和国
Nepal	g:尼泊尔联邦民主共和国
斯洛伐克共和国	g:斯洛伐克共和国
Netherlands	g:荷兰王国
Suriname	g:苏里南共和国
斯里兰卡	g:斯里兰卡民主社会主义共和国
德国	g:德意志联邦共和国
特克斯与凯科斯群岛	g:特克斯与凯科斯群岛
澳大利亚	g:澳大利亚联邦
美利坚合众国	g:美利坚合众国
佛得角共和国	g:佛得角共和国
突尼斯	g:突尼斯共和国
Jordan	g:约旦哈希姆王国
新喀里多尼亚	g:新喀里多尼亚
阿根廷	g:阿根廷共和国
波斯尼亚和黑塞哥维那	g:波斯尼亚和黑塞哥维那
Tanzania	g:坦桑尼亚联合共和国
马尔代夫共和国	g:马尔代夫共和国
Eritrea	g:厄立特里亚国
塞内加尔共和国	g:塞内加尔共和国
蒙古国	g:蒙古国
特立尼达和多巴哥	g:特立尼达和多巴哥共和国
约旦哈希姆王国	g:约旦哈希姆王国
汤加	g:汤加王国
摩洛哥王国	g:摩洛哥王国
葡萄牙	g:葡萄牙共和国
智利共和国	g:智利共和国
Syria	g:阿拉伯叙利亚共和国
索马里兰	g:索马里兰共和国
Niger	g:尼日尔共和国
德意志联邦共和国	g:德意志联邦共和国
吉布提共和国	g:吉布提共和国
Serbia	g:塞尔维亚共和国
索马里联邦共和国	g:索马里联邦共和国
厄瓜多尔共和国	g:厄瓜多尔共和国
乌拉圭	g:乌拉圭东岸共和国
Greece	g:希腊共和国
巴布亚新几内亚	g:巴布亚新几内亚独立国
新西兰	g:新西兰
玻利维亚	g:多民族玻利维亚国
西班牙	g:西班牙王国
索马里兰共和国	g:索马里兰共和国
美属维尔京群岛	g:美属维京群岛
埃塞俄比亚联邦民主共和国	g:埃塞俄比亚联邦民主共和国
加纳	g:加纳共和国
Bolivia	g:多民族玻利维亚国
毛里求斯共和国	g:毛里求斯共和国
Ghana	g:加纳共和国
津巴布韦共和国	g:津巴布韦共和国
Saudi Arabia	g:沙特阿拉伯王国
圭亚那	g:圭亚那合作共和国
尼日尔共和国	g:尼日尔共和国
圣多美和普林西比民主共和国	g:圣多美和普林西比民主共和国
马拉维	g:马拉维共和国
American Samoa	g:美属萨摩亚
Guatemala	g:危地马拉共和国
爱沙尼亚共和国	g:爱沙尼亚共和国
马其顿共和国	g:马其顿共和国
美国	g:美利坚合众国
Spain	g:西班牙王国
尼日利亚	g:尼日利亚联邦共和国
尼加拉瓜	g:尼加拉瓜共和国
Oman	g:阿曼苏丹国
Gabon	g:加蓬共和国
Niue	g:纽埃
法罗群岛	g:法罗群岛
乌兹别克斯坦	g:乌兹别克斯坦共和国
美属维京群岛	g:美属维京群岛
冈比亚共和国	g:冈比亚共和国
芬兰共和国	g:芬兰共和国
尼加拉瓜共和国	g:尼加拉瓜共和国
Greenland	g:格陵兰
巴林王国	g:巴林王国
United Arab Emirates	g:阿拉伯联合酋长国
瑞典	g:瑞典王国
开曼群岛	g:开曼群岛
白俄罗斯	g:白俄罗斯共和国
多哥	g:多哥共和国
德涅斯特河沿岸摩尔达维亚共和国	g:德涅斯特河沿岸摩尔达维亚共和国
Lesotho	g:莱索托王国
圣卢西亚	g:圣卢西亚
Kenya	g:肯尼亚共和国
赞比亚	g:赞比亚共和国
图瓦卢	g:图瓦卢
Czech Republic	g:捷克共和国
科威特	g:科威特国
Solomon Islands	g:所罗门群岛
百慕大	g:百慕大
卢旺达	g:卢旺达共和国
San Marino	g:圣马力诺共和国
French Polynesia	g:法属波利尼西亚
福克兰群岛（马尔维纳斯群岛）	g:福克兰群岛（马尔维纳斯群岛）
Bermuda	g:百慕大
Peru	g:秘鲁共和国
列支敦士登	g:列支敦士登公国
斯威士兰	g:斯威士兰王国
Benin	g:贝宁共和国
中华人民共和国澳门特别行政区	g:中华人民共和国澳门特别行政区
Mexico	g:墨西哥合众国
赤道几内亚	g:赤道几内亚共和国
塞尔维亚共和国	g:塞尔维亚共和国
比利时王国	g:比利时王国
China	g:中华人民共和国
科特迪瓦共和国	g:科特迪瓦共和国
赞比亚共和国	g:赞比亚共和国
瑙鲁	g:瑙鲁共和国
阿曼苏丹国	g:阿曼苏丹国
厄瓜多尔	g:厄瓜多尔共和国
荷兰	g:荷兰王国
Tonga	g:汤加王国
布隆迪共和国	g:布隆迪共和国
阿拉伯联合酋长国	g:阿拉伯联合酋长国
皮特凯恩群岛	g:皮特开恩群岛
中华人民共和国香港特别行政区	g:中华人民共和国香港特别行政区
Cayman Islands	g:开曼群岛
厄立特里亚国	g:厄立特里亚国
Mauritius	g:毛里求斯共和国
马耳他	g:马耳他共和国
Mali	g:马里共和国
尼泊尔	g:尼泊尔联邦民主共和国
Bulgaria	g:保加利亚共和国
Angola	g:安哥拉共和国
Chad	g:乍得共和国
South Africa	g:南非共和国
Tokelau	g:托克劳
Tajikistan	g:塔吉克斯坦共和国
南苏丹共和国	g:南苏丹共和国
Senegal	g:塞内加尔共和国
Uganda	g:乌干达共和国
Hungary	g:匈牙利
多米尼克国	g:多米尼克国
Brazil	g:巴西联邦共和国
关岛	g:关岛
科科斯（基林）群岛	g:科科斯（基林）群岛
瓦努阿图	g:瓦努阿图共和国
安哥拉	g:安哥拉共和国
阿布哈兹共和国	g:阿布哈兹共和国
斐济共和国	g:斐济共和国
格陵兰	g:格陵兰
圭亚那合作共和国	g:圭亚那合作共和国
Iran	g:伊朗伊斯兰共和国
Algeria	g:阿尔及利亚民主人民共和国
阿鲁巴	g:阿鲁巴
刚果民主共和国	g:刚果民主共和国
Marshall Islands	g:马绍尔群岛共和国
Belgium	g:比利时王国
阿根廷共和国	g:阿根廷共和国
Haiti	g:海地共和国
Iraq	g:伊拉克共和国
阿拉伯埃及共和国	g:阿拉伯埃及共和国
安圭拉	g:安圭拉
塞浦路斯共和国	g:塞浦路斯共和国
圣赫勒拿岛	g:圣赫勒拿
帕劳共和国	g:帕劳共和国
沙特阿拉伯	g:沙特阿拉伯王国
塞浦路斯	g:塞浦路斯共和国
Kiribati	g:基里巴斯共和国
瑞士联邦	g:瑞士联邦
Isle of Man	g:马恩岛
冰岛	g:冰岛共和国
莱索托	g:莱索托王国
立陶宛共和国	g:立陶宛共和国
Equatorial Guinea	g:赤道几内亚共和国
意大利	g:意大利共和国
Christmas lsland	g:圣诞岛
Djibouti	g:吉布提共和国
英属印度洋领地	g:英属印度洋领地
Antigua and Barbuda	g:安提瓜和巴布达
朝鲜	g:朝鲜
Nicaragua	g:尼加拉瓜共和国
荷属圣马丁	g:圣马丁
牙买加	g:牙买加
波多黎各	g:波多黎各自由邦
苏里南	g:苏里南共和国
科摩罗联盟	g:科摩罗联盟
东帝汶	g:东帝汶民主共和国
斯威士兰王国	g:斯威士兰王国
Venezuela	g:委内瑞拉玻利瓦尔共和国
United Kingdom	g:大不列颠及北爱尔兰联合王国
朝鲜民主主义人民共和国	g:朝鲜民主主义人民共和国
西撒哈拉	g:阿拉伯撒哈拉民主共和国
Iceland	g:冰岛共和国
Zambia	g:赞比亚共和国
Malawi	g:马拉维共和国
Germany	g:德意志联邦共和国
Kazakhstan	g:哈萨克斯坦共和国
Kyrgyzstan	g:吉尔吉斯共和国
圣赫勒拿	g:圣赫勒拿
老挝	g:老挝人民民主共和国
Montserrat	g:蒙特塞拉特
哈萨克斯坦共和国	g:哈萨克斯坦共和国
Guyana	g:圭亚那合作共和国
芬兰	g:芬兰共和国
科摩罗	g:科摩罗联盟
瑞典王国	g:瑞典王国
Honduras	g:洪都拉斯共和国
纽埃	g:纽埃
Egypt	g:阿拉伯埃及共和国
丹麦王国	g:丹麦王国
黑山	g:黑山
委内瑞拉	g:委内瑞拉玻利瓦尔共和国
Namibia	g:纳米比亚共和国
Comoros	g:科摩罗联盟
乌克兰	g:乌克兰
圣文森特和格林纳丁斯	g:圣文森特和格林纳丁斯
斯洛文尼亚共和国	g:斯洛文尼亚共和国
Guinea-Bissau	g:几内亚比绍共和国
捷克共和国	g:捷克共和国
大韩民国	g:大韩民国
科索沃	g:科索沃共和国
Ethiopia	g:埃塞俄比亚联邦民主共和国
Palestine	g:巴勒斯坦国
圣多美和普林西比	g:圣多美和普林西比民主共和国
几内亚比绍	g:几内亚比绍共和国
斯里兰卡民主社会主义共和国	g:斯里兰卡民主社会主义共和国
埃及	g:阿拉伯埃及共和国
中非	g:中非
沙特阿拉伯王国	g:沙特阿拉伯王国
俄罗斯联邦	g:俄罗斯联邦
冈比亚	g:冈比亚共和国
以色列	g:以色列国
法兰西共和国	g:法兰西共和国
危地马拉共和国	g:危地马拉共和国
Bosnia and Herzegovina	g:波斯尼亚和黑塞哥维那
亚美尼亚	g:亚美尼亚共和国
爱尔兰共和国	g:爱尔兰
Liberia	g:利比里亚共和国
Maldives	g:马尔代夫共和国
葡萄牙共和国	g:葡萄牙共和国
São Tomé and Príncipe	g:圣多美和普林西比民主共和国
津巴布韦	g:津巴布韦共和国
Monaco	g:摩纳哥公国
伊朗	g:伊朗伊斯兰共和国
尼泊尔联邦民主共和国	g:尼泊尔联邦民主共和国
摩纳哥公国	g:摩纳哥公国
Côte d'Ivoire	g:科特迪瓦共和国
几内亚共和国	g:几内亚共和国
Svalbard	g:斯瓦尔巴群岛
冰岛共和国	g:冰岛共和国
萨尔瓦多共和国	g:萨尔瓦多共和国
日本国	g:日本国
中非共和国	g:中非共和国
Turkmenistan	g:土库曼斯坦
Afghanistan	g:阿富汗伊斯兰共和国
巴勒斯坦	g:巴勒斯坦国
肯尼亚共和国	g:肯尼亚共和国
东帝汶民主共和国	g:东帝汶民主共和国
France	g:法兰西共和国
希腊共和国	g:希腊共和国
福克兰群岛	g:福克兰群岛（马尔维纳斯群岛）
中华人民共和国	g:中华人民共和国
Vanuatu	g:瓦努阿图共和国
卢旺达共和国	g:卢旺达共和国
印度共和国	g:印度共和国
Réunion	g:留尼汪
莱索托王国	g:莱索托王国
博茨瓦纳共和国	g:博茨瓦纳共和国
多民族玻利维亚国	g:多民族玻利维亚国
澳大利亚联邦	g:澳大利亚联邦
智利	g:智利共和国
哥伦比亚共和国	g:哥伦比亚共和国
波黑	g:波斯尼亚和黑塞哥维那
Timor-Leste	g:东帝汶民主共和国
Dominican Republic	g:多米尼加共和国
Qatar	g:卡塔尔国
阿塞拜疆	g:阿塞拜疆共和国
缅甸	g:缅甸联邦共和国
柬埔寨	g:柬埔寨王国
阿布哈兹	g:阿布哈兹共和国
不丹王国	g:不丹王国
塞尔维亚	g:塞尔维亚共和国
英属维京群岛	g:英属维京群岛
阿富汗	g:阿富汗伊斯兰共和国
Malaysia	g:马来西亚
巴基斯坦	g:巴基斯坦伊斯兰共和国
文莱达鲁萨兰国	g:文莱达鲁萨兰国
爱沙尼亚	g:爱沙尼亚共和国
托克劳	g:托克劳
Guinea	g:几内亚共和国
Panama	g:巴拿马共和国
伊朗伊斯兰共和国	g:伊朗伊斯兰共和国
Luxembourg	g:卢森堡大公国
Cape Verde	g:佛得角共和国
Andorra	g:安道尔公国
Norway	g:挪威王国
Gibraltar	g:直布罗陀
Ireland	g:爱尔兰
澳门	g:中华人民共和国澳门特别行政区
南非共和国	g:南非共和国
阿拉伯叙利亚共和国	g:阿拉伯叙利亚共和国
尼日尔	g:尼日尔共和国
毛里塔尼亚伊斯兰共和国	g:毛里塔尼亚伊斯兰共和国
克罗地亚共和国	g:克罗地亚共和国
Somali	g:索马里联邦共和国
拉脱维亚	g:拉脱维亚共和国
El Salvador	g:萨尔瓦多共和国
哈萨克斯坦	g:哈萨克斯坦共和国
卢森堡	g:卢森堡大公国
安提瓜和巴布达	g:安提瓜和巴布达
Thailand	g:泰王国
Belize	g:伯利兹
圣马丁	g:圣马丁
Sierra Leone	g:塞拉利昂共和国
蒙特塞拉特岛	g:蒙特塞拉特
梵蒂冈城国	g:梵蒂冈城国
Georgia	g:格鲁吉亚
Poland	g:波兰共和国
莫桑比克共和国	g:莫桑比克共和国
印度	g:印度共和国
Moldova	g:摩尔多瓦共和国
韩国	g:韩国
Guernsey	g:根西岛
希腊	g:希腊共和国
蒙古	g:蒙古
几内亚比绍共和国	g:几内亚比绍共和国
梵蒂冈	g:梵蒂冈城国
Curaçao	g:库拉索
Uzbekistan	g:乌兹别克斯坦共和国
摩尔多瓦共和国	g:摩尔多瓦共和国
Taiwan	g:中华民国
Fiji	g:斐济共和国
圣诞岛	g:圣诞岛
库克群岛	g:库克群岛
Madagascar	g:马达加斯加共和国
Italy	g:意大利共和国
Sudan	g:苏丹共和国
Micronesia	g:密克罗尼西亚联邦
安道尔公国	g:安道尔公国
格林纳达	g:格林纳达
摩洛哥	g:摩洛哥王国
特立尼达和多巴哥共和国	g:特立尼达和多巴哥共和国
Anguilla	g:安圭拉
苏丹	g:苏丹共和国
Israel	g:以色列国
塞舌尔共和国	g:塞舌尔共和国
密克罗尼西亚联邦	g:密克罗尼西亚联邦
Papua New Guinea	g:巴布亚新几内亚独立国
保加利亚共和国	g:保加利亚共和国
叙利亚	g:阿拉伯叙利亚共和国
Zimbabwe	g:津巴布韦共和国
新加坡共和国	g:新加坡共和国
塔吉克斯坦	g:塔吉克斯坦共和国
尼日利亚联邦共和国	g:尼日利亚联邦共和国
阿尔及利亚	g:阿尔及利亚民主人民共和国
马拉维共和国	g:马拉维共和国
Mauritania	g:毛里塔尼亚伊斯兰共和国
奥地利	g:奥地利共和国
乌干达	g:乌干达共和国
缅甸联邦共和国	g:缅甸联邦共和国
喀麦隆	g:喀麦隆共和国
塞舌尔	g:塞舌尔共和国
Trinidad and Tobago	g:特立尼达和多巴哥共和国
利比亚国	g:利比亚国
Latvia	g:拉脱维亚共和国
People's Republic of Korea	g:朝鲜民主主义人民共和国
保加利亚	g:保加利亚共和国
不丹	g:不丹王国
奥地利共和国	g:奥地利共和国
圣马力诺共和国	g:圣马力诺共和国
赤道几内亚共和国	g:赤道几内亚共和国
Paraguay	g:巴拉圭共和国
苏丹共和国	g:苏丹共和国
Botswana	g:博茨瓦纳共和国
皮特开恩群岛	g:皮特开恩群岛
洪都拉斯共和国	g:洪都拉斯共和国
瑞士	g:瑞士联邦
秘鲁共和国	g:秘鲁共和国
泰王国	g:泰王国
美属萨摩亚	g:美属萨摩亚
多米尼加	g:多米尼加共和国
Lithuania	g:立陶宛共和国
Cambodia	g:柬埔寨王国
Saint Christopher and Nevis	g:圣基茨和尼维斯联邦
库拉索	g:库拉索
刚果共和国	g:刚果共和国
Aruba	g:阿鲁巴
摩尔多瓦	g:摩尔多瓦共和国
Argentina	g:阿根廷共和国
Bahamas, The	g:巴哈马国
Bahrain	g:巴林王国
土库曼斯坦	g:土库曼斯坦
越南社会主义共和国	g:越南社会主义共和国
白俄罗斯共和国	g:白俄罗斯共和国
Slovenia	g:斯洛文尼亚共和国
坦桑尼亚	g:坦桑尼亚联合共和国
加蓬共和国	g:加蓬共和国
Virgin Islands, British	g:英属维京群岛
加纳共和国	g:加纳共和国
马达加斯加共和国	g:马达加斯加共和国
Congo (Kinshasa)	g:刚果民主共和国
Jamaica	g:牙买加
South Ossetia	g:南奥塞梯共和国
多米尼加共和国	g:多米尼加共和国
阿塞拜疆共和国	g:阿塞拜疆共和国
南奥塞梯共和国	g:南奥塞梯共和国
西班牙王国	g:西班牙王国
New Zealand	g:新西兰
马尔代夫	g:马尔代夫共和国
马里	g:马里
吉尔吉斯斯坦	g:吉尔吉斯共和国
Yemen	g:也门共和国
Albania	g:阿尔巴尼亚共和国
Samoa	g:萨摩亚独立国
Norfolk Island	g:诺福克岛
Guam	g:关岛
瓦利斯和富图纳群岛	g:瓦利斯和富图纳群岛
Azerbaijan	g:阿塞拜疆共和国
Pridnestrovie	g:德涅斯特河沿岸摩尔达维亚共和国
法国	g:法兰西共和国
Congo (Brazzaville)	g:刚果共和国
阿富汗伊斯兰共和国	g:阿富汗伊斯兰共和国
罗马尼亚	g:罗马尼亚
俄罗斯	g:俄罗斯联邦
巴勒斯坦国	g:巴勒斯坦国
加蓬	g:加蓬共和国
阿尔巴尼亚共和国	g:阿尔巴尼亚共和国
Bangladesh	g:孟加拉人民共和国
India	g:印度共和国
Saint Lucia	g:圣卢西亚
斯瓦尔巴群岛	g:斯瓦尔巴群岛
多哥共和国	g:多哥共和国
乌拉圭东岸共和国	g:乌拉圭东岸共和国
Rwanda	g:卢旺达共和国
巴基斯坦伊斯兰共和国	g:巴基斯坦伊斯兰共和国
Laos	g:老挝人民民主共和国
几内亚	g:几内亚共和国
Cook Islands	g:库克群岛
法属波利尼西亚	g:法属波利尼西亚
卡塔尔国	g:卡塔尔国
意大利共和国	g:意大利共和国
塞内加尔	g:塞内加尔共和国
Cuba	g:古巴共和国
挪威王国	g:挪威王国
圣皮埃尔和密克隆群岛	g:圣皮埃尔和密克隆群岛
直布罗陀	g:直布罗陀
土耳其共和国	g:土耳其共和国
Mayotte	g:马约特
Armenia	g:亚美尼亚共和国
Saint Vincent and the Grenadines	g:圣文森特和格林纳丁斯
Virgin Islands, United States	g:美属维京群岛
伯利兹	g:伯利兹
塔吉克斯坦共和国	g:塔吉克斯坦共和国
根西岛	g:根西岛
Vietnam	g:越南社会主义共和国
大不列颠及北爱尔兰联合王国	g:大不列颠及北爱尔兰联合王国
Russia	g:俄罗斯联邦
博茨瓦纳	g:博茨瓦纳共和国
利比里亚	g:利比里亚共和国
Romania	g:罗马尼亚
瑙鲁共和国	g:瑙鲁共和国
约旦	g:约旦哈希姆王国
捷克	g:捷克共和国
圣基茨和尼维斯	g:圣基茨和尼维斯联邦
巴布亚新几内亚独立国	g:巴布亚新几内亚独立国
科威特国	g:科威特国
文莱	g:文莱达鲁萨兰国
Austria	g:奥地利共和国
Mozambique	g:莫桑比克共和国
Japan	g:日本国
Sint Maarten	g:圣马丁
多米尼克	g:多米尼克国
爱尔兰	g:爱尔兰
荷兰王国	g:荷兰王国
巴哈马国	g:巴哈马国
Faroe Islands	g:法罗群岛
也门	g:也门共和国
中华民国	g:中华民国
马里共和国	g:马里共和国
亚美尼亚共和国	g:亚美尼亚共和国
Pakistan	g:巴基斯坦伊斯兰共和国
吉布提	g:吉布提共和国
Northern Mariana Islands	g:北马里亚纳群岛邦
波多黎各自由邦	g:波多黎各自由邦
Brunei	g:文莱达鲁萨兰国
Belarus	g:白俄罗斯共和国
委内瑞拉玻利瓦尔共和国	g:委内瑞拉玻利瓦尔共和国
巴林	g:巴林王国
苏里南共和国	g:苏里南共和国
土耳其	g:土耳其共和国
Chile	g:智利共和国
Puerto Rico	g:波多黎各自由邦
塞拉利昂共和国	g:塞拉利昂共和国
萨尔瓦多	g:萨尔瓦多共和国
乌干达共和国	g:乌干达共和国
Croatia	g:克罗地亚共和国
Mongolia	g:蒙古国
泽西岛	g:泽西岛
Switzerland	g:瑞士联邦
Grenada	g:格林纳达
以色列国	g:以色列国
Seychelles	g:塞舌尔共和国
Uruguay	g:乌拉圭东岸共和国
吉尔吉斯共和国	g:吉尔吉斯共和国
巴哈马	g:巴哈马国
菲律宾	g:菲律宾共和国
索马里	g:索马里联邦共和国
印度尼西亚	g:印度尼西亚共和国
Burundi	g:布隆迪共和国
Turks and Caicos Islands	g:特克斯与凯科斯群岛
肯尼亚	g:肯尼亚共和国
留尼汪	g:留尼汪
巴巴多斯	g:巴巴多斯
Bhutan	g:不丹王国
孟加拉人民共和国	g:孟加拉人民共和国
纳米比亚共和国	g:纳米比亚共和国
波兰共和国	g:波兰共和国
Singapore	g:新加坡共和国
Malta	g:马耳他共和国
墨西哥合众国	g:墨西哥合众国
阿尔及利亚民主人民共和国	g:阿尔及利亚民主人民共和国
柬埔寨王国	g:柬埔寨王国
南非	g:南非共和国
巴拉圭	g:巴拉圭共和国
马其顿	g:马其顿
英国	g:大不列颠及北爱尔兰联合王国
拉脱维亚共和国	g:拉脱维亚共和国
菲律宾共和国	g:菲律宾共和国
南苏丹	g:南苏丹共和国
Abkhazia	g:阿布哈兹共和国
北马里亚纳群岛	g:北马里亚纳群岛邦
黎巴嫩	g:黎巴嫩共和国
斐济	g:斐济共和国
莫桑比克	g:莫桑比克共和国
厄立特里亚	g:厄立特里亚国
圣马力诺	g:圣马力诺共和国
British Indian Ocean Territory	g:英属印度洋领地
布基纳法索	g:布基纳法索
New Caledonia	g:新喀里多尼亚
Macedonia	g:马其顿共和国
海地共和国	g:海地共和国
South Sudan	g:南苏丹共和国
危地马拉	g:危地马拉共和国
基里巴斯共和国	g:基里巴斯共和国
巴拉圭共和国	g:巴拉圭共和国
北马里亚纳群岛邦	g:北马里亚纳群岛邦
Myanmar	g:缅甸联邦共和国
Tunisia	g:突尼斯共和国
Nagorno-Karabakh	g:纳戈尔诺-卡拉巴赫共和国
克罗地亚	g:克罗地亚共和国
加拿大	g:加拿大
中国	g:中华人民共和国
Gambia, The	g:冈比亚共和国
Sri Lanka	g:斯里兰卡民主社会主义共和国
马达加斯加	g:马达加斯加共和国
摩加迪沙	g:索马里联邦共和国:摩加迪沙
台北	g:中华民国:台北
圣乔治	g:格林纳达:圣乔治
内比都	g:缅甸联邦共和国:内比都
索菲亚	g:保加利亚共和国:索菲亚
亚穆苏克罗	g:科特迪瓦共和国:亚穆苏克罗
雷克雅未克	g:冰岛共和国:雷克雅未克
科纳克里	g:几内亚共和国:科纳克里
科托努	g:贝宁共和国:科托努
亚松森	g:巴拉圭共和国:亚松森
洛美	g:多哥共和国:洛美
卡斯特里	g:圣卢西亚:卡斯特里
梵蒂冈城	g:梵蒂冈城国:梵蒂冈城
阿比让	g:科特迪瓦共和国:阿比让
耶路撒冷	g:巴勒斯坦国:耶路撒冷
伊斯兰堡	g:巴基斯坦伊斯兰共和国:伊斯兰堡
基加利	g:卢旺达共和国:基加利
里加	g:拉脱维亚共和国:里加
科伦坡	g:斯里兰卡民主社会主义共和国:科伦坡
塔拉瓦	g:基里巴斯共和国:塔拉瓦
喀土穆	g:苏丹共和国:喀土穆
塔什干	g:乌兹别克斯坦共和国:塔什干
哈瓦那	g:古巴共和国:哈瓦那
马斯喀特	g:阿曼苏丹国:马斯喀特
拉巴特	g:摩洛哥王国:拉巴特
斯科普里	g:马其顿:斯科普里
比什凯克	g:吉尔吉斯共和国:比什凯克
危地马拉城	g:危地马拉共和国:危地马拉城
西班牙港	g:特立尼达和多巴哥共和国:西班牙港
多哈	g:卡塔尔国:多哈
麦纳麦	g:巴林王国:麦纳麦
阿什哈巴德	g:土库曼斯坦:阿什哈巴德
杜尚別	g:塔吉克斯坦共和国:杜尚別
巴库	g:阿塞拜疆共和国:巴库
布拉柴维尔	g:刚果共和国:布拉柴维尔
罗安达	g:安哥拉共和国:罗安达
达累斯萨拉姆	g:坦桑尼亚联合共和国:达累斯萨拉姆
